rank	word	frequency
958	fragen	93
959	Änderungen	93
960	Friedrich	92
961	Heimat	92
962	Interesse	92
963	Modell	92
964	de	92
965	falsch	92
966	leider	92
967	ohnehin	92
968	sodass	92
969	wobei	92
970	Chef	91
971	Methoden	91
972	Pandemie	91
973	Sicht	91
974	aktuellen	91
975	bewusst	91
976	Beziehung	90
977	Darüber	90
978	Denken	90
979	Folge	90
980	Haut	90
981	Merkel	90
982	Parteien	90
983	Robert	90
984	folgenden	90
985	jeweiligen	90
986	of	90
987	voller	90
988	Augenblick	89
989	Holocaust	89
990	Strauß	89
991	Verantwortung	89
992	entwickeln	89
993	erster	89
994	länger	89
995	sprach	89
996	unterschiedliche	89
997	Berliner	88
998	Gespräch	88
999	genannt	88
1000	getan	88
1001	Grenzen	87
1002	Schließlich	87
1003	Wissenschaft	87
1004	fallen	87
1005	knapp	87
1006	lediglich	87
1007	sehe	87
1008	€	87
1009	Generation	86
1010	Immer	86
1011	Kirche	86
1012	Spiel	86
1013	Titel	86
1014	erfahren	86
1015	freien	86
1016	fuhr	86
1017	mussten	86
1018	treffen	86
1019	wahrscheinlich	86
1020	z.B.	86
1021	Arme	85
1022	Blut	85
1023	Entscheidungen	85
1024	Max	85
1025	Mitarbeiter	85
1026	Mittel	85
1027	Position	85
1028	Verbindung	85
1029	suchen	85
1030	vergessen	85
1031	Basis	84
1032	Bilder	84
1033	Bruder	84
1034	Darstellung	84
1035	Franz	84
1036	Funktion	84
1037	Fähigkeiten	84
1038	Gruppen	84
1039	Produktion	84
1040	Untersuchung	84
1041	Zeitpunkt	84
1042	einzelne	84
1043	erscheint	84
1044	irgendwie	84
1045	links	84
1046	meint	84
1047	verstanden	84
1048	Einige	83
1049	Kindheit	83
1050	Kommunikation	83
1051	Ordnung	83
1052	Rücken	83
1053	Schulen	83
1054	Zustand	83
1055	bestimmte	83
1056	brauchen	83
1057	dürfte	83
1058	früh	83
1059	gesellschaftlichen	83
1060	jeweils	83
1061	Arzt	82
