rank	word	frequency
737	Séamus	123
738	idirnáisiúnta	123
739	inar	123
740	lámha	123
741	tada	123
742	údar	123
743	(i)	122
744	bealach	122
745	chás	122
746	no	122
747	sinn	122
748	suim	122
749	tuilleadh	122
750	óir	122
751	AN	121
752	Dhia	121
753	a'	121
754	cónaí	121
755	eagla	121
756	Íosa	121
757	Bhain	120
758	he	120
759	éinne	120
760	bia	119
761	cuí	119
762	file	119
763	liosta	119
764	liteartha	119
765	nithe	119
766	thagann	119
767	uaim	119
768	ábhair	119
769	Bhí	118
770	Tugann	118
771	bíodh	118
772	dath	118
773	fhan	118
774	fhile	118
775	fonn	118
776	fágtha	118
777	gnó	118
778	léiríonn	118
779	máthair	118
780	Thosaigh	117
781	aonair	117
782	chathair	117
783	fheiceáil	117
784	lasmuigh	117
785	uathu	117
786	uilig	117
787	gáire	116
788	moladh	116
789	rang	116
790	láithreach	115
791	náisiúnta	115
792	rún	115
793	Feirste	114
794	Phádraig	114
795	at	114
796	bhall	114
797	bhfaca	114
798	chúis	114
799	dream	114
800	eatarthu	114
801	fé	114
802	gceann	114
803	hEorpa	114
804	sholáthar	114
805	shúile	114
806	Ghaeltacht	113
807	Mamaí	113
808	bocht	113
809	ceapadh	113
810	glacadh	113
811	iontas	113
812	mhac	113
813	scéim	113
814	thógáil	113
815	tine	113
816	téacs	113
817	Nollag	112
818	Sea	112
819	iompar	112
820	tobann	112
821	óige	112
822	Brian	111
823	iarratas	111
824	ndaoine	111
825	ndearna	111
826	sheasamh	111
827	(ii)	110
828	Cuireadh	110
829	bhfear	110
830	eolais	110
831	mbíodh	110
832	ráta	110
833	scrúdú	110
834	speisialta	110
835	staidéar	110
836	éag	110
837	Chonradh	109
838	Meiriceá	109
839	araon	109
840	cluichí	109
841	éisteacht	109
842	Bhuel	108
843	Máire	108
844	Scoil	108
845	cathrach	108
846	greim	108
847	liomsa	108
848	triúr	108
849	álainn	108
850	RTÉ	107
851	a’	107
852	dtagraítear	107
853	gcomhthéacs	107
854	mall	107
855	mhaithe	107
856	mhéid	107
857	páirt	107
858	scríofa	107
859	tarraingt	107
860	Mary	106
861	barr	106
862	daltaí	106
863	dearmad	106
864	insint	106
865	iúl	106
866	láimh	106
867	saoire	106
868	titim	106
869	éineacht	106
870	by	105
871	faighte	105
872	iníon	105
873	lú	105
874	Dar	104
875	Londain	104
876	aníos	104
877	inár	104
878	ngach	104
879	stáitse	104
880	uaithi	104
881	Féin	103
882	amhail	103
883	bhuail	103
884	chóras	103
885	clár	103
886	cois	103
887	filleadh	103
888	thall	103
889	Cailín	102
890	Chonaic	102
891	Gaelach	102
892	Meán	102
893	Ollscoil	102
894	bhun	102
895	casadh	102
896	cheantar	102
897	féin	102
898	fhéadfaí	102
899	have	102
900	not	102
901	scéil	102
902	se	102
903	shlí	102
904	tábhachtach	102
905	Bheadh	101
906	Náisiúnta	101
907	bheatha	101
908	fhorbairt	101
909	freagra	101
910	gairid	101
911	gcionn	101
912	iomaí	101
913	réimse	101
914	seoladh	101
915	so	101
916	Colm	100
