rank	word	frequency
897	rend	99
898	aider	98
899	dis	98
900	décision	98
901	information	98
902	pouvez	98
903	programme	98
904	stratégie	98
905	tendance	98
906	voulait	98
907	établissement	98
908	Etat	97
909	Selon	97
910	bord	97
911	capacité	97
912	classe	97
913	littérature	97
914	pleine	97
915	route	97
916	sortie	97
917	usage	97
918	Aujourd'hui	96
919	bouche	96
920	catégorie	96
921	certaine	96
922	générale	96
923	largement	96
924	montre	96
925	mètres	96
926	physique	96
927	retraite	96
928	types	96
929	volonté	96
930	vécu	96
931	écologique	96
932	Dès	95
933	catégories	95
934	commence	95
935	crois	95
936	demandé	95
937	directeur	95
938	langues	95
939	montrer	95
940	numériques	95
941	propos	95
942	retrouve	95
943	sang	95
944	vision	95
945	au-delà	94
946	avenir	94
947	champ	94
948	disait	94
949	lesquelles	94
950	oui	94
951	permettent	94
952	plaisir	94
953	région	94
954	-ils	93
955	bébé	93
956	commencé	93
957	engagement	93
958	moindre	93
959	nez	93
960	obtenir	93
961	partout	93
962	série	93
963	vêtements	93
964	âme	93
965	économie	93
966	+	92
967	M.	92
968	appel	92
969	candidat	92
970	entendre	92
971	humain	92
972	métier	92
973	soirée	92
974	Notre	91
975	apprendre	91
976	auteur	91
977	croire	91
978	lesquels	91
979	mémoire	91
980	novembre	91
981	regarder	91
982	transition	91
983	Noël	90
984	Tous	90
985	articles	90
986	connaissance	90
987	conséquences	90
988	court	90
989	décidé	90
990	députés	90
991	désir	90
992	manger	90
993	marque	90
994	mer	90
995	moyen	90
996	octobre	90
997	saison	90
998	territoires	90
999	tombe	90
1000	ami	89
1001	animaux	89
1002	choisi	89
1003	conduit	89
1004	dimension	89
1005	proches	89
1006	quelle	89
1007	toutefois	89
1008	utilisation	89
1009	établissements	89
1010	apparaît	88
1011	chercher	88
1012	fini	88
1013	humaine	88
1014	individus	88
1015	porter	88
1016	poste	88
1017	proche	88
1018	propres	88
1019	quartier	88
1020	supérieur	88
1021	voilà	88
1022	Certains	87
1023	Rien	87
1024	connaît	87
1025	date	87
1026	enjeux	87
1027	estime	87
1028	faible	87
